"X" "score" "text" "created" "date" "time" "header"
"485" 490 8 "&lttexas forever&gt love Tami Taylor http//tco/iuI4hkSxUV via Refinery29" "2015-01-21 22:09:06" "2015-01-21" "2015-01-21 22:09:06" TRUE
"439" 443 7.68 "The 15 Best Apps For New Yorkers http //t co/fKcYFSwcr7 via  Refinery29" "2015-01-20 19:03:31" "2015-01-20" "2015-01-20 19:03:31" TRUE
"1092" 1101 7.68 "The 15 Best Apps For New Yorkers http//tco/fKcYFSwcr7 via Refinery29" "2015-01-20 19:03:31" "2015-01-20" "2015-01-20 19:03:31" TRUE
"486" 491 7.68 "RT parisinthe1920s 2 NEW Clips of itsmeleighton in LifePartnersMov hulu http//tco/8hmdq4hmaRRefinery29  http//tco/J5ZBtxanRu h" "2015-01-21 22:06:58" "2015-01-21" "2015-01-21 22:06:58" TRUE
"648" 653 7.44 "No surprise here - its the best cc rosepilato http//tco/lkbIp855bA via refinery29" "2015-01-21 15:32:15" "2015-01-21" "2015-01-21 15:32:15" TRUE
