"X" "score" "text" "created" "date" "time" "header"
"775" 791 8.37 "WhoWhatWear So much fun TY" "2015-01-20 06:00:11" "2015-01-20" "2015-01-20 06:00:11" TRUE
"132" 135 8.36 " WhoWhatWear  MirandaKerr That cape is fantastic   " "2015-01-21 08:55:37" "2015-01-21" "2015-01-21 08:55:37" TRUE
"454" 465 8.36 "WhoWhatWear MirandaKerr That cape is fantastic" "2015-01-21 08:55:37" "2015-01-21" "2015-01-21 08:55:37" TRUE
"549" 562 8 "WhoWhatWear love this" "2015-01-20 23:37:44" "2015-01-20" "2015-01-20 23:37:44" TRUE
"158" 162 8 " WhoWhatWear love   em" "2015-01-21 07:32:34" "2015-01-21" "2015-01-21 07:32:34" TRUE
