"X" "score" "text" "created" "date" "time" "header"
"110" 120 8.37 "RT  halseymusic  Did something fun with  SteveMadden today    http //t co/C07KWSmOOQ" "2015-01-19 20:10:29" "2015-01-19" "2015-01-19 20:10:29" TRUE
"278" 307 8.37 "RT halseymusic Did something fun with SteveMadden today  http//tco/C07KWSmOOQ" "2015-01-19 20:10:29" "2015-01-19" "2015-01-19 20:10:29" TRUE
"351" 389 8 "In love SteveMadden http//tco/YpjMOdfBUw" "2015-01-17 17:04:27" "2015-01-17" "2015-01-17 17:04:27" TRUE
"145" 157 8 "In love w   SteveMadden   " "2015-01-18 17:50:54" "2015-01-18" "2015-01-18 17:50:54" TRUE
"313" 344 8 "In love w SteveMadden " "2015-01-18 17:50:54" "2015-01-18" "2015-01-18 17:50:54" TRUE
